name,neighbourhood,room_type,bedrooms,bathrooms,accommodates,minimum_nights,price,availability_365,number_of_reviews,review_score,latitude,longitude,is_superhost
Family house in centre of Amsterdam,Oostelijk Havengebied - Indische Buurt,Entire home/apt,3.0,2.0,4,4,175.0,214,33,91.0,52.37379,4.94488,0
cosy room with private entrance,De Baarsjes - Oud-West,Private room,2.0,1.0,3,2,69.0,365,398,96.0,52.36903,4.8560300000000005,0
Three colourful art rooms in trendy Pijp,De Pijp - Rivierenbuurt,Private room,2.0,1.0,3,2,100.0,364,239,91.0,52.35852,4.90356,1
creative ground floor house close to Vondelpark,Zuid,Entire home/apt,1.0,1.0,2,5,105.0,0,73,93.0,52.35353,4.847090000000001,0
Houseboat 'Saturnus' Amsterdam,Centrum-Oost,Entire home/apt,2.0,1.0,4,3,275.0,336,77,92.0,52.37007,4.9017,0
FABULOUS MODERN LOFT IN JORDAAN,Centrum-West,Entire home/apt,1.0,1.5,4,3,179.0,1,60,97.0,52.371159999999996,4.87896,0
"Superb, quiet home with garden!",Oud-Oost,Entire home/apt,3.0,1.5,4,3,175.0,88,18,100.0,52.35698,4.92061,0
Great apartment near the centre,Oud-Oost,Entire home/apt,1.0,1.0,2,3,110.0,0,46,95.0,52.360479999999995,4.92685,0
Central 17th Century Unique House,Centrum-West,Entire home/apt,3.0,1.5,2,3,175.0,0,31,99.0,52.37393,4.89355,0
GROUNDFLOOR IN WESTERPARK + WIFI and a comfy bed,Westerpark,Entire home/apt,1.0,1.0,4,2,150.0,0,193,93.0,52.3816,4.87211,1
Luxurious apartment @ Dam Square,Centrum-West,Entire home/apt,1.0,1.0,2,2,160.0,0,149,98.0,52.370740000000005,4.89435,0
Amsterdam-Beatiful entire apartment,De Baarsjes - Oud-West,Entire home/apt,1.0,1.0,2,3,125.0,0,28,95.0,52.36975,4.86026,0
Cosy apartment along the Amstel.,Oud-Oost,Entire home/apt,1.0,1.0,2,2,150.0,0,19,97.0,52.35409,4.91289,0
Live the life of A'dam on water!,Westerpark,Private room,1.0,1.5,2,2,85.0,331,438,94.0,52.39134,4.89067,0
Modern 3 bedroom apt. + garden near Jordaan,De Baarsjes - Oud-West,Entire home/apt,3.0,1.5,4,3,200.0,0,54,97.0,52.37066,4.86025,0
Central quiet ap'ment with parcview,Bos en Lommer,Entire home/apt,2.0,1.0,5,2,79.0,0,96,88.0,52.37594,4.8501,0
Family apartment 80m2 near Vondelpark,Slotervaart,Entire home/apt,2.0,1.5,4,3,225.0,365,16,91.0,52.3526,4.84468,0
Luxury design B&B in city centre,De Baarsjes - Oud-West,Private room,1.0,1.5,2,1,132.0,50,31,97.0,52.36159,4.8766300000000005,0
"Light filled, split level, cosy and clean home",Westerpark,Entire home/apt,1.0,1.0,2,5,169.0,87,23,97.0,52.38303,4.87512,0
"Quiet & spacious apt, near Museums & Concertgebouw",Zuid,Entire home/apt,3.0,1.0,5,5,120.0,0,11,96.0,52.353640000000006,4.87824,0
Centre Amsterdam perfect for family,Centrum-Oost,Entire home/apt,3.0,1.0,4,3,299.0,365,60,94.0,52.364020000000004,4.887580000000001,0
Stylish Design Apartment,Zuid,Private room,2.0,1.0,3,3,120.0,365,127,99.0,52.355,4.87611,1
Light studio in centre of Amsterdam,Westerpark,Entire home/apt,1.0,1.0,2,6,76.0,0,94,97.0,52.3848,4.87726,0
★ Combo City Centre Apartments,Centrum-West,Entire home/apt,5.0,3.5,7,7,729.0,139,110,97.0,52.37958,4.8945099999999995,1
Apartment near centre with amazing view over city,Zuid,Entire home/apt,2.0,1.5,4,5,159.0,88,77,84.0,52.35022,4.8525,0
Bright Canal house with amazing view! @the Jordaan,Centrum-West,Entire home/apt,1.0,1.0,2,3,160.0,0,23,97.0,52.37813,4.88594,0
Beautiful grand appartment (135 m2),Bos en Lommer,Entire home/apt,3.0,1.5,4,5,180.0,0,23,99.0,52.37762,4.85285,0
Somewhere Else,Westerpark,Private room,1.0,1.0,2,2,110.0,343,202,98.0,52.39139,4.88874,0
Comfortable and pleasant apartment,De Baarsjes - Oud-West,Entire home/apt,1.0,1.0,2,2,110.0,21,31,98.0,52.373059999999995,4.86193,0
Beautiful ground floor apartment,Watergraafsmeer,Entire home/apt,2.0,1.5,4,5,140.0,1,57,97.0,52.35541,4.93876,0
PLAYFUL SPLIT-LEVEL LOFT+GARDEN,Westerpark,Entire home/apt,1.0,1.0,4,4,309.0,365,112,93.0,52.37472,4.872330000000001,0
3 bedrooms Apartment+Garden,De Baarsjes - Oud-West,Entire home/apt,3.0,1.5,6,1,150.0,0,43,91.0,52.37234,4.86229,0
Charming canal apartment (75m2),De Baarsjes - Oud-West,Entire home/apt,1.0,1.0,2,2,110.0,0,23,95.0,52.37296,4.87374,0
"Near city center, green area, WIFI",De Baarsjes - Oud-West,Entire home/apt,1.0,1.0,2,5,50.0,0,18,96.0,52.36694,4.8503300000000005,0
* Live like a King @ Prinsengracht,Centrum-West,Entire home/apt,2.0,1.0,4,21,1750.0,365,31,98.0,52.37453,4.88406,1
Lovely house close to the Jordaan!,Westerpark,Entire home/apt,1.0,1.0,2,2,107.0,0,10,98.0,52.37784,4.8720099999999995,0
